Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755806007,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755806012,50,HTTP,POST /api/v1/accounts/open-debit-card-account,0.000000,0.000000,0,0,0,0,0,0,0,0,23,0,590.0,622.011661529541,308.0301284790039,1046.5607643127441,665.4347826086956
1755806012,50,HTTP,POST /api/v1/users,6.666667,0.000000,440,520,570,620,690,750,770,770,50,0,510.0,477.58726596832275,57.318925857543945,788.57421875,201.24
1755806012,50,,Aggregated,6.666667,0.000000,520,570,630,710,760,870,1000,1000,73,0,520.0,523.0908426519943,57.318925857543945,1046.5607643127441,347.4931506849315
1755806017,100,HTTP,POST /api/v1/accounts/open-debit-card-account,5.250000,0.000000,690,760,930,1000,1500,2500,3100,3100,53,0,630.0,807.5677088971408,308.0301284790039,3148.293972015381,664.811320754717
1755806017,100,HTTP,POST /api/v1/cards/issue-physical-card,1.750000,0.000000,1000,1200,1800,2100,2500,2600,2800,2800,37,0,790.0,1094.1824784149994,137.8319263458252,2759.6359252929688,281.3783783783784
1755806017,100,HTTP,POST /api/v1/users,8.750000,0.000000,510,570,660,840,1300,1600,2200,2300,118,0,520.0,624.3787781666902,57.318925857543945,2250.6301403045654,201.23728813559322
1755806017,100,,Aggregated,15.750000,0.000000,590,690,790,1000,1500,2200,2800,3100,208,0,580.0,754.6275773873696,57.318925857543945,3148.293972015381,333.61538461538464
1755806022,100,HTTP,POST /api/v1/accounts/open-debit-card-account,9.400000,0.000000,740,870,990,1500,3000,3100,3400,3600,137,0,720.0,997.0639796152602,192.93594360351562,3579.558849334717,665.1021897810219
1755806022,100,HTTP,POST /api/v1/cards/issue-physical-card,5.400000,0.000000,380,480,730,1200,2300,2500,2800,2800,93,0,380.0,713.1739713812387,67.51513481140137,2774.2438316345215,281.3440860215054
1755806022,100,HTTP,POST /api/v1/users,11.800000,0.000000,340,430,570,900,1300,1600,2200,2300,159,0,400.0,506.85984983384236,24.08289909362793,2250.6301403045654,201.27044025157232
1755806022,100,,Aggregated,26.600000,0.000000,530,660,830,1100,2000,2700,3100,3600,389,0,530.0,728.8268911807886,24.08289909362793,3579.558849334717,383.76863753213365
